link,title,full_date,start_date,end_date,sort_date,month,location,location_search,info,name,favicon,root
https://museum.wales//stfagans/whatson/11550/Wales-isProud-/,Wales Is...Proud ,15 July 2022 – 5 March 2023,Fri 15 Jul,Sun 05 Mar,2022-07-15,July,"St. Fagans, Cardiff CF5 6DP",St. Fagans  Cardiff CF5 6DP,"Every summer, Pride marches and events are held across Wales to celebrate LGBTQ+ equality and visibi...",St. Fagans National Museum of History,./static/images/st_fagans_favicon.svg,https://museum.wales/
https://museum.wales//stfagans/whatson/11774/Voices-of-The-Red-Wall/,Voices Of The Red Wall,19 November 2022 – 17 April 2023,Sat 19 Nov,Mon 17 Apr,2022-11-19,November,"St. Fagans, Cardiff CF5 6DP",St. Fagans  Cardiff CF5 6DP,Supporters of our national football teams are called The Red Wall. Dressed in their bucket hats and ...,St. Fagans National Museum of History,./static/images/st_fagans_favicon.svg,https://museum.wales/
https://museum.wales//stfagans/whatson/11787/Wales-isremembering-Terrence-Higgins/,Wales Is...Remembering Terrence Higgins,1 December 2022 – 19 March 2023,Thu 01 Dec,Sun 19 Mar,2022-12-01,December,"St. Fagans, Cardiff CF5 6DP",St. Fagans  Cardiff CF5 6DP,"Born in Pembrokeshire in 1945, Terrence Higgins was one of the first people in the UK to die of an A...",St. Fagans National Museum of History,./static/images/st_fagans_favicon.svg,https://museum.wales/
https://museum.wales//stfagans/whatson/11135/St-Fagans-Museum-Ghost-Tours/,St Fagans Museum Ghost Tours,2 September–24 November 2022,Fri 02 Sep,Thu 24 Nov,2022-09-02,September,"St. Fagans, Cardiff CF5 6DP",St. Fagans  Cardiff CF5 6DP,"Hear true tales of ghostly encounters in and around the historic buildings. Also, hear of Welsh superstitions about death, mourning and ghosts, and discover why Wales could be the world's most haunted country!",St. Fagans National Museum of History,./static/images/st_fagans_favicon.svg,https://museum.wales/
https://museum.wales//stfagans/whatson/11677/Introduction-to-Enamelling/,Introduction To Enamelling,"12 November 2022 &  4 February 2023, 10:30 - 3:30pm",Sat 12 Nov,Sat 04 Feb,2022-11-12,November,"St. Fagans, Cardiff CF5 6DP",St. Fagans  Cardiff CF5 6DP,"An introduction to the traditional craft of enamelling – but with a playful, contemporary edge...",St. Fagans National Museum of History,./static/images/st_fagans_favicon.svg,https://museum.wales/
https://museum.wales//stfagans/whatson/11673/Spoon-Carving/,Spoon Carving,"12 November 2022 &  4 February 2023, 10:30 - 4pm",Sat 12 Nov,Sat 04 Feb,2022-11-12,November,"St. Fagans, Cardiff CF5 6DP",St. Fagans  Cardiff CF5 6DP,Join Vic Phillips of SingleMaltTeapot as he takes you through the essential tools and techniques nee...,St. Fagans National Museum of History,./static/images/st_fagans_favicon.svg,https://museum.wales/
https://museum.wales//stfagans/whatson/11537/Cardiff-Farmers-Markets/,Cardiff Farmers Markets,"19 November 2022, 10am - 3pm",Sat 19 Nov,,2022-11-19,November,"St. Fagans, Cardiff CF5 6DP",St. Fagans  Cardiff CF5 6DP,Cardiff Farmers Markets join us once again for their monthly pop-up food market. A ch...,St. Fagans National Museum of History,./static/images/st_fagans_favicon.svg,https://museum.wales/
https://museum.wales//stfagans/whatson/11671/Introduction-to-Leatherwork/,Introduction To Leatherwork,"19 November 2022, 25 March &  20 May 2023, 10:30 - 4pm",Sat 19 Nov,Sat 20 May,2022-11-19,November,"St. Fagans, Cardiff CF5 6DP",St. Fagans  Cardiff CF5 6DP,These one day courses are a chance to try your hand at leatherworking in the inspirational setting o...,St. Fagans National Museum of History,./static/images/st_fagans_favicon.svg,https://museum.wales/
https://museum.wales//stfagans/whatson/11786/Welsh-Somali-Heritage-Day-/,Welsh Somali Heritage Day ,"26 November 2022, 11am-5pm",Sat 26 Nov,,2022-11-26,November,"St. Fagans, Cardiff CF5 6DP",St. Fagans  Cardiff CF5 6DP,"Somali & Welsh - Exploring Identity, culture, and heritageJoin us for a day of discussions and a...",St. Fagans National Museum of History,./static/images/st_fagans_favicon.svg,https://museum.wales/
https://museum.wales//stfagans/whatson/11698/Christmas-Willow-Wreaths/,Christmas Willow Wreaths,"3–4 December 2022, 10:30 - 1pm & 1:30 - 4pm",ERROR: invalid date string (month not found): 3,,,,,,,,,
