link,title,full_date,print_date,sort_date,month,location,location_search,info,name,favicon,root,max_date,dupl_count,end_date,update_date
https://museum.wales//cardiff/whatson/11098/The-Rules-of-Art/,The Rules Of Art?,23 October 2021 – 4 June 2023,Sat 23 Oct – Sun 04 Jun,2021-10-23,October,"St. Fagans, Cardiff CF5 6DP",St. Fagans  Cardiff CF5 6DP,Extra time at the exhibition!Come and enjoy the Rules of Art? exhibition until 9pm on 4 August as pa...,Museum Wales ,./static/images/st_fagans_favicon.svg,https://museum.wales/,2021-10-23,1,,18 Nov 2022 11:32
https://museum.wales//slate/whatson/11545/FAB-50---Half-a-century-of-History-/,Fab 50 - Half A Century Of History! ,25 May–31 December 2022,Wed 25 May – Sat 31 Dec,2022-05-25,May,"St. Fagans, Cardiff CF5 6DP",St. Fagans  Cardiff CF5 6DP,The National Slate Museum celebrates its 50th birthday in 2022! Come and enjoy this special bir...,Museum Wales ,./static/images/st_fagans_favicon.svg,https://museum.wales/,2022-05-25,1,,18 Nov 2022 11:32
https://museum.wales//stfagans/whatson/11550/Wales-isProud-/,Wales Is...Proud ,15 July 2022 – 5 March 2023,Fri 15 Jul – Sun 05 Mar,2022-07-15,July,"St. Fagans, Cardiff CF5 6DP",St. Fagans  Cardiff CF5 6DP,"Every summer, Pride marches and events are held across Wales to celebrate LGBTQ+ equality and visibi...",Museum Wales ,./static/images/st_fagans_favicon.svg,https://museum.wales/,2022-07-15,1,,18 Nov 2022 11:32
https://museum.wales//cardiff/whatson/11568/Reframing-Picton/,Reframing Picton,1 August 2022 – 3 September 2023,Mon 01 Aug – Sun 03 Sep,2022-08-01,August,"St. Fagans, Cardiff CF5 6DP",St. Fagans  Cardiff CF5 6DP,Who was Lieutenant-General Sir Thomas Picton? A war hero. A cruel tyrant. A symptom of the British E...,Museum Wales ,./static/images/st_fagans_favicon.svg,https://museum.wales/,2022-08-01,1,,18 Nov 2022 11:32
https://museum.wales//swansea/whatson/11645/Dance-to-Health---The-Falls-Prevention-Dance-Programme/,Dance To Health - The Falls Prevention Dance Programme,19 August 2022 – 31 March 2023,Fri 19 Aug – Fri 31 Mar,2022-08-19,,"St. Fagans, Cardiff CF5 6DP",St. Fagans  Cardiff CF5 6DP,"Dance to Health is a fun, sociable, and creative way for older people to participate in falls-preven...",Museum Wales ,./static/images/st_fagans_favicon.svg,https://museum.wales/,2022-08-19,1,,18 Nov 2022 11:32
https://museum.wales//stfagans/whatson/11135/St-Fagans-Museum-Ghost-Tours/,St Fagans Museum Ghost Tours,2 September–24 November 2022,Fri 02 Sep – Thu 24 Nov,2022-09-02,September,"St. Fagans, Cardiff CF5 6DP",St. Fagans  Cardiff CF5 6DP,"Hear true tales of ghostly encounters in and around the historic buildings. Also, hear of Welsh superstitions about death, mourning and ghosts, and discover why Wales could be the world's most haunted country!",Museum Wales ,./static/images/st_fagans_favicon.svg,https://museum.wales/,2022-09-02,1,,18 Nov 2022 11:32
https://museum.wales//swansea/whatson/11707/Yama-Sakubei-Yamamoto-Coal-Mine-Paintings-/,Yama: Sakubei Yamamoto Coal Mine Paintings ,10 September 2022 – 2 January 2023,Sat 10 Sep – Mon 02 Jan,2022-09-10,,"St. Fagans, Cardiff CF5 6DP",St. Fagans  Cardiff CF5 6DP,"At the age of seven years old, Sakubei Yamamoto (1892-1984) moved with his family to the coal mines ...",Museum Wales ,./static/images/st_fagans_favicon.svg,https://museum.wales/,2022-09-10,1,,18 Nov 2022 11:32
https://museum.wales//swansea/whatson/11706/Tip-Girls-/,Tip Girls ,10 September 2022 – 5 March 2023,Sat 10 Sep – Sun 05 Mar,2022-09-10,,"St. Fagans, Cardiff CF5 6DP",St. Fagans  Cardiff CF5 6DP,This exhibition covers the topic of female workers in the Welsh coal industry. This is probably...,Museum Wales ,./static/images/st_fagans_favicon.svg,https://museum.wales/,2022-09-10,1,,18 Nov 2022 11:32
https://www.visitthevale.com/events/celf-coast-cymru-10-turner-house,Celf Coast Cymru 10 - Turner House,"September 25, 2022/January 10, 2023",Sun 25 Sep - Tue 10 Jan,2022-09-25,,"Turner House, Plymouth Road, Penarth, CF64 3DH",Turner House  Plymouth Road  Penarth  CF64 3DH,In 2022 the Wales Coast Path celebrates its 10th anniversary. Artist Dan LLewellyn Hall was commissioned to curate the visual arts responding to the coast.,Visit the Vale,https://global-uploads.webflow.com/6023f273f06914e9f46f193b/60509a2e9b7a8c2f25a0b4c7_Site%20Icon.png,https://www.visitthevale.com,2022-09-25,1,,18 Nov 2022 11:32
https://museum.wales//wool/whatson/11710/Cuppa-and-a-Paper/,Cuppa And A Paper,"28 September, 12, 26 October, 9, 23 November, 7 &  21 December 2022","28 Sep, 12, 26 Oct, 9, 23 Nov, 7 & 21 Dec",2022-09-28,,"St. Fagans, Cardiff CF5 6DP",St. Fagans  Cardiff CF5 6DP,Join us at the National Wool Museum every other Wednesday at 12pm. A chance to chat over a cupp...,Museum Wales ,./static/images/st_fagans_favicon.svg,https://museum.wales/,2022-09-28,1,,18 Nov 2022 11:32
