link,title,start_date,end_date,location,info
https://www.visitthevale.com/events/vale-pick-your-own-halloween-2022,VALE PICK YOUR OWN – HALLOWEEN 2022  | Visit The Vale,01/10/2022,31/10/2022,Greenland Farm,"Vale Pick Your Own is a family run pick your own fruit farm located off the A48 in Bonvilston, just outside of Cardiff. We are back open for autumn 2022 with some exciting Halloween themed events!"
https://cadw.gov.wales/all-saints-day-and-lives-local-welsh-saints,All Saints Day and the lives of local Welsh Saints,01/11/2022,,Rug Chapel,"Join us for a special evening lecture with Professor Jane Cartwright, as she explores All Saints Day and the lives of local Welsh Saints.  Please book your tickets online before the event. Doors open: 6.30pm Event starts: 7pm"
https://www.cardiffcastle.com/events/christmas-festival-castellana/,Christmas Festival - Castellana,01/12/2022,01/01/2023,"The Spiegeltent, Cardiff Castle Grounds, Castle Street, Cardiff, CF10 3RB","Castellana is a sensational blend of cabaret, burlesque and comedy with a hint of naughtiness with anthemic music."
https://www.visitthevale.com/events/christmas-experience-at-forage,Christmas Experience at Forage | Visit The Vale,02/12/2022,23/12/2022,Vale of Glamorgan,"With the festive season fast approaching, Forage, once again, presents to you its magical Christmas Experience!"
https://www.visitthevale.com/events/festival-of-light,FESTIVAL OF LIGHT | Visit The Vale,02/12/2022,11/12/2022,Central Park,"Back by popular demand, this year’s Festival of Light will be held over 10 days, and feature majestic mirror balls, a neon ribbon and animal trail, a light show, an enchanted fairy garden and more!‍"
https://www.visitthevale.com/events/christmas-market,CHRISTMAS MARKET | Visit The Vale,02/12/2022,11/12/2022,Kings Square,There’s nothing more magical then visiting a Christmas Market to get into the Christmas Spirit!
https://www.visitthevale.com/events/elf-trail,ELF TRAIL | Visit The Vale,02/12/2022,18/12/2022,Barry Town Centre,Oh no!! Santa’s Elves are up to no good again and are hiding in different shops across the Town!
https://www.cardiffcastle.com/events/christmas-festival-santas-wish/,Christmas Festival - Santa's Wish,02/12/2022,24/12/2022,"The Spiegeltent, Cardiff Castle Grounds, Castle Street, Cardiff, CF10 3RB","Santa's Wish is a heart-warming family musical adventure, enriched with original songs, immersive storytelling and a sprinkling of circus magic."
https://www.visitthevale.com/events/christmas-post-office,CHRISTMAS POST OFFICE | Visit The Vale,03/12/2022,12/12/2022,Barry Library,Visit Santa's Post Office with your child to write and send their Christmas letters.
https://cadw.gov.wales/seasonal-scents-medieval-christmas-decoration-workshop,Seasonal Scents: Medieval Christmas Decoration Workshop,03/12/2022,04/12/2022,Chepstow Castle,Come and discover how people celebrated Christmas in Medieval times and the role that scents played. Learn which ingredients were local and which had travelled from afar. Learn their stories while you make a scented decoration to take home. This is a drop-in activity. Suitable for all ages. How to visit
https://www.visitthevale.com/events/barry-rfc-fireworks-night,Barry RFC Fireworks Night | Visit The Vale,04/11/2022,04/11/2022,Barry Rugby Club,Barry RFC presents Fireworks Night at the Reservoir Feilds (Barry RFC)
https://cadw.gov.wales/bonfire-night-bonanza,Bonfire Night Bonanza,04/11/2022,06/11/2022,Caerphilly Castle,Come to Caerphilly castle and enjoy craft activates and a complete a trail around the castle to win a prize.
https://www.visitthevale.com/events/christmas-fayre-at-st-donats-castle,Christmas Fayre at St Donat's Castle | Visit The Vale,04/12/2022,04/12/2022,Saint Donat's Castle,Christmas Fayre returns to St Donat's Castle and welcomes over 60 local craft and street food traders
https://www.visitthevale.com/events/penarth-firework-fiesta,Penarth Firework Fiesta | Visit The Vale,05/11/2022,05/11/2022,Penarth Athletic Ground,Penarth R.F.C. and Penarth Athletic Club present their Firework Fiesta.
